symbol,name,sector,index_membership
PG,Procter & Gamble Company,Consumer Staples,SP500|DOW30
KO,Coca-Cola Company,Consumer Staples,SP500|DOW30
WMT,Walmart Inc.,Consumer Staples,SP500|DOW30
HD,Home Depot Inc.,Consumer Discretionary,SP500|DOW30
MCD,McDonald's Corporation,Consumer Discretionary,SP500|DOW30
NKE,NIKE Inc. Class B,Consumer Discretionary,SP500|DOW30
DIS,Walt Disney Company,Communication Services,SP500|DOW30
IBM,International Business Machines Corporation,Technology,SP500|DOW30
CRM,Salesforce Inc.,Technology,SP500|DOW30
CAT,Caterpillar Inc.,Industrials,SP500|DOW30
BA,Boeing Company,Industrials,SP500|DOW30
GE,GE Aerospace,Industrials,SP500
RTX,RTX Corporation,Industrials,SP500
UPS,United Parcel Service Inc. Class B,Industrials,SP500
LOW,Lowe's Companies Inc.,Consumer Discretionary,SP500
T,AT&T Inc.,Communication Services,SP500
VZ,Verizon Communications Inc.,Communication Services,SP500
PLTR,Palantir Technologies Inc.,Technology,NASDAQ100
SHOP,Shopify Inc. Class A,Technology,NASDAQ100
DDOG,Datadog Inc.,Technology,NASDAQ100
TEAM,Atlassian Corporation Class A,Technology,NASDAQ100
ANET,Arista Networks Inc.,Technology,SP500
NOW,ServiceNow Inc.,Technology,SP500
UBER,Uber Technologies Inc.,Industrials,SP500
PGR,Progressive Corporation,Financials,SP500
C,Citigroup Inc.,Financials,SP500
TMO,Thermo Fisher Scientific Inc.,Health Care,SP500
DHR,Danaher Corporation,Health Care,SP500
BLK,BlackRock Inc.,Financials,SP500
SCHW,Charles Schwab Corporation,Financials,SP500
